source,page,text
c1_vector-based_models.pdf,1,Vector-Based Models
c1_vector-based_models.pdf,2,"Vector Models & Text Preprocessing
●
We want to study how Machine Learning is applied to language
●
However, ML works on numbers, and language is made of text
●
How to convert language to numbers, so that ML can be applied?
●
Text Preprocessing!"
c1_vector-based_models.pdf,3,"Basic Definitions
●
Sentence: a sequence of words
●
Ex: In English, a sentence typically begins with a capital letter and ends with 
punctuation (e.g. period, question mark)
Sentence: I love dogs."
c1_vector-based_models.pdf,4,"Tokens
●
We may also consider a sentence to be a sequence of tokens
●
Tokens can be words, but can also be punctuation, or sub-unit of words
●
Note: it is common to use “tokens” in replace of “words”
Sentence: I love dogs.
Tokens: [I, love, dogs, .]"
c1_vector-based_models.pdf,5,"Letters and Characters
●
English is made up of 26 lettes (A-Z)
●
A more general term: “character”
●
Characters can represent punctuation and whitespace too (e.g. “\n”)
●
In C++, Java, and others, the “character” is a fundamental data type
●
Sometimes, NLP models will be build on words, but other times, they wiil be in 
terms of characters"
c1_vector-based_models.pdf,6,"Vocabulary
●
Vocabulary: the set of “all” words
●
In most cases, vocabulary won’t contain every possible word, but rather, just a 
“reasonable” subset of words
●
How many to keep? 1000s? 10k’s? 100k’s? 1M’s?
●
Depends on your application!
●
Unless you are using a pretrained model (has been decided)"
c1_vector-based_models.pdf,7,"Corpus
●
“A large collection of writings of a specific kind or on a specific subject”
●
Here, it will simply refer to our ML dataset"
c1_vector-based_models.pdf,8,"N-Gram
●
Refers to N consecutive items (e.g. words, subwords, characters)
●
Single item: unigram
●
Two items: bigram
●
Three items: trigram"
c1_vector-based_models.pdf,9,"What is a Vector?
●
Vectors are how we will represent text numerically
●
An array of scalars (e.g. (3, 4))
●
Vectors can have 100s or 1000s of dimensions
●
They are also the foundation of many ML techniques"
c1_vector-based_models.pdf,10,"Why are Vectors Useful?
●
To imagine why vectors are useful, think about  what you would do if you did 
not use vectors
●
Task: write a computer program that takes an email as input, and output 
whether or not the email is spam
●
What would you do? 
○
Keywords
●
If the email contains “Nigerian Prince”, “insurance”, “credit”, “make money”, 
etc. mark it as spam"
c1_vector-based_models.pdf,11,"Why are Vectors Useful?
●
What if you are interested in courses about computing credit score? You 
cannot filter on the word “credit”
●
What if you taking a course on NLP, and the instructor uses the “Nigerian 
Prince” example? You cannot filter this phrase either
●
What conditions makes an email safe? (NCHU?) Spammer can still send fake 
emails pretending to be from NCHU
●
Overall problems: what to do if rules conflict?
●
That’s why we need ML (data-driven automated decision-making)"
c1_vector-based_models.pdf,12,"Spam Detection with Vectors
●
Supose there is a way to map text into vectors, such that the vector for each 
class fall into their own clusters
●
Then we can simply draw a line between the 2 clusters"
c1_vector-based_models.pdf,13,"Spam Detection with Vectors
●
Supose there is a way to map text into vectors, such that the vector for each 
class fall into their own clusters
●
Then we can simply draw a line between the 2 clusters
●
Suppose we have a new email whose 
spam status is unknown
●
The question now is simple: which 
side of the line is it on?"
c1_vector-based_models.pdf,14,"Organizing Documents
●
Suppose a company has a large collection of document that needs to be 
organize, but there are way too many to read one-by-one
●
We can automate this using Clustering
●
But only if we convert the documents to vectors first"
c1_vector-based_models.pdf,15,"Is it Possible?
●
In reality, our vectors will not be so nicely separated"
c1_vector-based_models.pdf,16,"Bag of Words
●
Text is sequential, the specific sequence of words gives the text meaning
●
If we randomized the words in a sentence, we would change its meaning, or 
more likely, make it incomprehensible
●
Despite this, many NLP approaches do not consider word order
●
We will call this “bag of words” representations"
c1_vector-based_models.pdf,17,Order Matters: Example
c1_vector-based_models.pdf,18,"Where is Bag of Words Used?
●
Vector models and classic ML models use bag of words
●
Probabalistic models and deep learning do not
●
This is just a rough categorization: we can still find probabilistic and neural 
models that also use bag of words"
c1_vector-based_models.pdf,19,"Count Vectorizer
●
This method is simply called counting
●
It is a “bag of words” approach
●
Consider a simple classification task: discriminate between documents about 
biology and documents about physics"
c1_vector-based_models.pdf,20,"Data Format
●
Excel spreadsheet / CSV / Pandas dataframe (pre-requisite)"
c1_vector-based_models.pdf,21,"Data Format
●
Excel spreadsheet / CSV / Pandas dataframe
Our first goal is to convert the inputs 
to numerical values (vectors) for ML 
models"
c1_vector-based_models.pdf,22,"Determining Vocabulary Size
●
Let V = number of unique words in training corpus
●
Each document will be converted into a vector of size V
●
The vector components will contain the counts for each word"
c1_vector-based_models.pdf,23,"A Simple Example
●
V (vocabulary size) = 6"
c1_vector-based_models.pdf,24,"How Does Counting Help?
●
Given a new document, count up # 
Mitochondria, # Gravity, plot it on this 
graph, and determine which side of the 
line the vector falls on!"
c1_vector-based_models.pdf,25,CountVectorizer in Code (Scikit-Learn)
c1_vector-based_models.pdf,26,"Normalization
●
What if our corpus has very long and very short documents?
●
Count vectors will have size disparities (more words = higher counts)"
c1_vector-based_models.pdf,28,"Tokenization
●
Tokenization: splitting strings into tokens
●
Basic approach: s.split() → [""I"", ""like"", ""cats""]
●
Better approach: Use NLP libraries (SpaCy, NLTK)
Method
Output
s.split()
[""I"", ""like"", ""cats.""]
NLTK word_tokenize()
[""I"", ""like"", ""cats"", "".""]
SpaCy Tokenizer
[""I"", ""like"", ""cats"", "".""]"
c1_vector-based_models.pdf,29,"Tokenization: Words-Based VS. Character-Based
Cons of word-based tokenization:
●
Up to 1 million words (hence, 1 million dimensions)
●
Must have # outputs equal to vocabulary size (1 million dimension probability 
distribution)
●
This corresponds to a very large weight matrix
Pros of word-based tokenization:
●
Words have meaning / contain lots of information"
c1_vector-based_models.pdf,30,"Tokenization: Words-Based VS. Character-Based
Cons of charater-based tokenization:
●
Characters do not contain lots of information
Pros of character-based tokenization:
●
In English, there are only 26 letters, + some characters for white space and 
punctuation
●
Thus, the “vocabulary” size is small, easy to represent in a computer"
c1_vector-based_models.pdf,31,"Subword-Based Tokenization
●
A middle ground between word-based and character-based
●
Ex: “walking” → “walk” + “ing”
●
“Walk” is closely related to “walking” - we’d like them to have some shared 
representation in our model (via the token “walk”)
●
“ing” is a meaningful token - it has the same meaning whether it’s applied to 
“walking”, “eating”, etc."
c1_vector-based_models.pdf,32,"Subword-Based Tokenization
●
What if we didn’t split “walking” into “walk” + “ing”?
●
Each vector component (count) is separate, so “walk” is no closer to “walking” 
than it is to “tree”
●
We can only hope our model learn the similarity through the data
●
Do we want our model to learn “walk”, “walks”, “walking”, “walked”, etc. 
independently? Or should we connect them via a shared representation?"
c1_vector-based_models.pdf,33,"In Scikit-Learn
Word-based tokenization
CountVectorizer(analyzer=”word”)
Character-based tokenization
CountVectorizer(analyzer=”char”)"
c1_vector-based_models.pdf,34,"Punctuation
●
Punctuation may be important for downstream NLP tasks
●
Ex: “I hate cats.” vs. “I hate cats?”
●
Tokenizing punctuation: “I hate cats?” → [“I”, “hate”, “cats”, “?”]
●
Should you use it? Thats dependent on your experimental results
○
Semtiment analysis → Yes (affect meaning)
○
Topic modeling → No (add noise)
●
Note: SKLearn CountVectorizer ignores punctuation"
c1_vector-based_models.pdf,35,"Casing
●
Consider sentiment analysis or spam detection
●
Does “cat” have the same meaning as “Cat”?
●
Simply call string.lower() in Python
●
With SKLearn: CountVectorizer(lowercase=True)"
c1_vector-based_models.pdf,36,"Accents
●
Less common in English
●
“Naive” and “Náive” are both correct
●
Map the character yourself, or use 
CountVectorizer(strip_accents=True)"
c1_vector-based_models.pdf,37,"Stopwords
●
What we know so far: how to build vector using counting
●
Tokenization → Count the tokens → Put them into a vector"
